REVIEW_ID,PACKAGE_NAME,RATING,FULL_REVIEW_TEXT,AUT_LABEL,MAN_LABEL,STATUS_MAN,NUM_FEATURE
25862659,com.accuweather.android,2,i don t feel it is very accurate at all temp is always cooler then it really is have a few weather apps this one has been the least accurate so far,Accuracy,Accuracy,1,1
25788164,com.accuweather.android,5,it s been my go to for years seems mostly accurate and well supported,Accuracy,Accuracy,1,1
25862660,com.accuweather.android,5,so far so good so far this app is just what i was looking for quick weather reports from saved locations without a lot of extraneous bs,UI,UI,1,1
25862413,com.accuweather.android,5,great design and temperatures love knowing the realfeel,UI,UI,1,1
25862420,com.accuweather.android,5,wouldn t be without it it s easy to say if you want to know the weather in england today look out the window but i love this app and wouldn t be without it,Daily forecast,Daily forecast,1,1
25862428,com.accuweather.android,4,no manual refresh button in app and widget please add manual refresh button in both app widget even if it s only for paid app of yours we will like it so much thanks,UI,UI,1,1
25862685,com.accuweather.android,1,package file invalid app worked on older phone but not on droid x2 other apps install fine except this one please fix,Device,Device,1,1
25862440,com.accuweather.android,5,accuweather weather forecasts detailed,Detailed info,Detailed info,1,1
25788713,com.accuweather.android,4,good upcoming rain is the best thing more locations would be handy acuurate in general,Accuracy,Accuracy,1,1
25862699,com.accuweather.android,5,always accurate a big part of hunting planning,Daily forecast,Daily forecast,1,1
25787692,com.accuweather.android,3,nice ui refreshment nice ui update but small craft advisory that vibrates even on priority only on lollipop at 3am is annoying it is not like a tsunami that i need to start running right away ok 3 15am now beach hazard statement again vibrated for thursday which is in 24h you gotta stop this harassment can you add priority notification only in case is a short notice,Other,UI,0,2
25862703,com.accuweather.android,3,good except kept messing up corona ca teml kept showing temperatures 10 degrees lower than other apps and sites had to uninstall found a much better rated and accurate app elsewhere,Location,Accuracy,0,1
25862449,com.accuweather.android,4,very nice app no problems love the minute by minute forecast,Detailed info,Detailed info,1,1
25788740,com.accuweather.android,4,great app definitely improved over the past year more detailed,Detailed info,Detailed info,1,1
25788238,com.accuweather.android,2,i used this app for some time but after last android update and the update before it took 20 of my battery even without a widget my battery is dead in a half day because of this application please do something with this,Update Frequency,Update Frequency,1,1
25862223,com.accuweather.android,5,easy to use this app even gets my 4 5 year old excited about the weather forecast,Ads,UI,0,1
25789009,com.accuweather.android,5,accurate love the min by min rain predictor i can totally plan my day i don t like that the share feature is gone since the new update only complaint though,Weather update,Weather update,1,1
25862228,com.accuweather.android,4,weather app very good and informative app sometimes when it tells you the 90 minute info it will be off the mark,Detailed info,Detailed info,1,1
25862487,com.accuweather.android,5,new layout concise and clear to read,Detailed info,UI,0,1
25862744,com.accuweather.android,5,fantastic fantastic app covers so many different areas of weather had it for over 4 years tried others but nothing comes close to being as good as this,Device,Other,0,1
25787483,com.accuweather.android,3,accuracy level need to improve,Detailed info,Accuracy,0,1
25862495,com.accuweather.android,3,please add weather update frequency setting,Update Frequency,Update Frequency,1,1
25862505,com.accuweather.android,1,sucks now had it for years now on the galaxy s6 and constantly says 14 degrees from a day back in january and does not update to current weather love weather from state college but i m gonna have to delete it i hope your new channel is better than the last few updates of this app sad,Weather update,Weather update,1,1
25787755,com.accuweather.android,5,nice get a current temp with a note of today s weather then off to the radar nice app for me,Accuracy,Accuracy,1,1
25862509,com.accuweather.android,4,very user friendly like the alerts warning of severe weather conditions,Warning,Warning,1,2
25788272,com.accuweather.android,1,90 days forecast,forecast,forecast,0,1
